,Entity,Code,Year,Schizophrenia (%),Bipolar disorder (%),Eating disorders (%),Anxiety disorders (%),Drug use disorders (%),Depression (%),Alcohol use disorders (%),Prevalence in males (%),Prevalence in females (%),Population_x,"Suicide rate (deaths per 100,000 individuals)","Depressive disorder rates (number suffering per 100,000)",Population_y,Prevalence - Depressive disorders - Sex: Both - Age: All Ages (Number) (people suffering from depression),20-24 years old (%),10-14 years old (%),All ages (%),70+ years old (%),30-34 years old (%),15-19 years old (%),25-29 years old (%),50-69 years old (%),Age-standardized (%),15-49 years old (%)
895,Cameroon,CMR,2017,0.170795518611,0.628202386552,0.133790101708,2.90866265178,0.588020694109,3.74564654244,1.02422661164,3.02535096955,4.43996017989,24566000.0,14.0299375494655,3676.50979806999,24566000.0,739628.942489,3.41648252602,1.2145880982,2.73508631298,8.17875016715,4.16906839695999,2.7371738,3.78400384422,6.78758719763,3.74564654244,3.86963297912
923,Canada,CAN,2017,0.315588104492,0.716413353796,0.477304277231,5.17821839452,2.27622881402,3.98879207345,1.61793704155,2.97591563942,4.95240899552,36732000.0,10.9051948299155,3623.45972499,36732000.0,1438911.33396,5.67310651865,2.0336604347,4.25359604088,3.32419095745,5.271697547,4.90751468182,5.35740731781,4.40872240075999,3.98879207345,5.46096635793
951,Cape Verde,CPV,2017,0.189879535964,0.710183999085,0.169251986576,2.99897722829,0.630609046745,4.08245123568,1.00767039782,3.63888286503,4.46152472202,537000.0,16.7661748615991,3885.48253952,537000.0,20345.1255338,3.84558715640999,1.29381803372999,3.91434517369999,8.26657619365,4.55604865608,2.98639901785999,4.20611497944,7.07812658953,4.08245123568,4.37478964063
979,Central African Republic,CAF,2017,0.149087097362,0.593029711716999,0.0891832048568,3.24999016614,0.516703024611,4.2117282286,1.40771199943,3.74913202652,4.65545419976,4596000.0,16.9268973666591,4172.57193284,4596000.0,157770.024468,5.02441239921,1.47180999818,3.45509847199,7.37763668989,5.18753762787999,3.79003087355,5.06090218244,6.62317919194,4.2117282286,5.02186624727
1007,Chad,TCD,2017,0.168019370423,0.626774721351,0.122128893812999,2.88704925028,0.457399958972999,3.87483743869,0.943401226861,3.06005964819999,4.70589699026,15017000.0,11.0235559334496,3827.24852925,15017000.0,368863.964207,3.56902671591,1.35637006035,2.47541212248,8.27079574993,4.3956094612,2.97044006555,3.97465660539,6.87651484295,3.87483743869,4.03789687866
1035,Chile,CHL,2017,0.201430396901,0.790591416643,0.416122857107999,6.27208431335,1.25715039624,4.05772314199999,2.44947021823,3.0096700579,5.04866853468,18470000.0,10.1389641762478,3719.09988291,18470000.0,734070.084786,5.83427586577,2.1837980527,4.37134127755,4.41060452867,4.94180640019,4.97119083644,5.27168768231,4.95637649002,4.05772314199999,5.23715771119
1063,China,CHN,2017,0.338174072578,0.321906029616,0.159587521318,3.03096888849,1.11394315344,3.31130589749999,1.22090281616,2.56586811513,4.04211813811,1421021952.0,7.20617001834642,3116.58803474,1421021952.0,56364934.8195,2.48585841199,0.868518543757,4.15545483488,7.81017397062999,3.06294811365,1.96691963557,2.75787896982,6.92433956590999,3.31130589749999,3.37151832546
1091,Colombia,COL,2017,0.207210793076,0.768913491185,0.260257216714,2.51480277253,1.07552593882,2.19615411587999,1.75851240385,2.02680841412,2.3498261295,48910000.0,5.52554063858157,2072.28902371,48910000.0,1098230.12772,2.52354584821,0.834541628955,2.28742694369,3.91984077978,2.46067228733,1.97163506874,2.48578041886,3.59118315685999,2.19615411587999,2.50029522297
1119,Comoros,COM,2017,0.170251722541,0.659469464827,0.110911467084999,3.64987700162,0.505442970977,3.33011431331,1.50999832823,2.68030712333,3.92162882322,814000.0,8.31706945715841,3230.79628535,814000.0,19928.5379262,3.04167939555,1.43157444697,2.87614397988,7.33937094516,3.3911483781,2.91833293738999,3.18815134059999,6.02457209573,3.33011431331,3.46395673551
1147,Congo,COG,2017,0.169760114653,0.614345498481,0.161674794943,3.27074494306,0.560305689719,4.00829079152,1.44879047846,3.43128653985,4.56792869672999,5111000.0,14.0377337943553,3939.60241434,5111000.0,164640.462939,4.6505114203,1.48041302885,3.42426454601,7.24760612148,4.82797035983,3.62873513401,4.68428645781,6.34083020665,4.00829079152,4.7672803428
